      Date        |         arcmap       |        arcpro        |     arcgis_online   |        qgis          |        postgis       |        postgre       |        portal        |      story maps      |      collector       |       survey123      |    web_application   |      enterprise     |        erdas         |    remote_sensing    |        python       |         sql         |    javascript_api    |        html          |       search_term     |
02/17/21 10:14:19 |          9           |          1           |          6          |          1           |          0           |          0           |          2           |          1           |          2           |          2           |          3           |          7          |          0           |          0           |          4          |          4          |          0           |          2           |       technician      |
02/17/21 10:14:34 |          6           |          1           |          10         |          6           |          1           |          5           |          3           |          1           |          5           |          4           |          3           |          13         |          0           |          4           |          24         |          11         |          0           |          3           |       specialist      |
02/17/21 10:14:49 |          6           |          0           |          15         |          7           |          1           |          7           |          8           |          4           |          7           |          3           |          1           |          14         |          0           |          4           |          31         |          16         |          0           |          2           |        analyst        |
02/17/21 10:15:03 |          8           |          0           |          10         |          1           |          1           |          6           |          7           |          5           |          5           |          1           |          2           |          19         |          0           |          0           |          44         |          24         |          3           |          6           |       developer       |
02/17/21 10:18:00 |          7           |          1           |          6          |          7           |          0           |          3           |          2           |          1           |          2           |          1           |          1           |          6          |          0           |          4           |          13         |          9          |          0           |          1           |       technician      |
02/17/21 10:18:17 |          6           |          1           |          10         |          6           |          1           |          5           |          3           |          1           |          5           |          4           |          3           |          13         |          0           |          4           |          24         |          11         |          0           |          3           |       specialist      |
02/17/21 10:18:32 |          6           |          0           |          15         |          7           |          1           |          7           |          8           |          4           |          7           |          3           |          1           |          14         |          0           |          4           |          31         |          18         |          0           |          2           |        analyst        |
02/17/21 10:18:49 |          8           |          0           |          12         |          1           |          1           |          6           |          7           |          3           |          3           |          0           |          8           |          16         |          0           |          0           |          39         |          24         |          4           |          12          |       developer       |
02/17/21 11:49:41 |          7           |          1           |          6           |          7           |          0           |          3           |          2           |          1           |          2           |          1           |          1           |          7           |          0           |          4           |          13         |          9           |          0           |          1           |       technician      |
02/17/21 11:49:55 |          2           |          0           |          11         |          8           |          1           |          5           |          3           |          1           |          7           |          4           |          0           |          13         |          0           |          5           |          28         |          17         |          0           |          4           |       specialist      |
02/17/21 11:50:10 |          6           |          0           |          14         |          8           |          1           |          7           |          8           |          4           |          7           |          3           |          1           |          14         |          0           |          4           |          32         |          17         |          0           |          2           |        analyst        |
02/17/21 11:50:24 |          8           |          0           |          15         |          1           |          1           |          4           |          8           |          3           |          4           |          1           |          2           |          19         |          0           |          0           |          19         |          16         |          3           |          5           |       developer       |
02/18/21 06:00:01 |          9           |          2           |          10         |          1           |          0           |          1           |          5           |          2           |          1           |          2           |          5           |          11         |          0           |          0           |          7           |          7           |          0           |          3           |       technician      |
02/18/21 06:00:17 |          7           |          2           |          13         |          5           |          0           |          3           |          10         |          5           |          10         |          5           |          3           |          25         |          0           |          3           |          21         |          10         |          1           |          2           |       specialist      |
02/18/21 06:00:33 |          5           |          1           |          17         |          6           |          1           |          7           |          7           |          5           |          6           |          3           |          2           |          16         |          0           |          3           |          27         |          16         |          0           |          3           |        analyst        |
02/18/21 06:00:48 |          4           |          0           |          17         |          1           |          1           |          6           |          10         |          3           |          4           |          1           |          5           |          23         |          0           |          0           |          20         |          22         |          3           |          6           |       developer       |
02/19/21 06:00:01 |          6           |          1           |          6           |          7           |          0           |          3           |          2           |          1           |          2           |          1           |          1           |          7           |          0           |          4           |          14         |          9           |          0           |          1           |       technician      |
02/19/21 06:00:15 |          3           |          0           |          4           |          3           |          0           |          0           |          4           |          2           |          4           |          2           |          2           |          4           |          0           |          0           |          8           |          4           |          1           |          1           |       specialist      |
02/19/21 06:00:31 |          9           |          0           |          17         |          4           |          2           |          3           |          5           |          5           |          8           |          1           |          3           |          14         |          0           |          0           |          21         |          15         |          1           |          5           |        analyst        |
02/19/21 06:00:47 |          8           |          0           |          11         |          1           |          1           |          5           |          8           |          3           |          3           |          0           |          5           |          21         |          0           |          0           |          30         |          25         |          5           |          7           |       developer       |
02/20/21 06:00:01 |          9           |          2           |          6           |          1           |          0           |          0           |          2           |          2           |          1           |          1           |          3           |          6           |          0           |          0           |          6           |          7           |          0           |          2           |       technician      |
02/20/21 06:00:16 |          1           |          1           |          3           |          5           |          0           |          3           |          6           |          1           |          5           |          4           |          1           |          17         |          0           |          3           |          15         |          13         |          1           |          1           |       specialist      |
02/20/21 06:02:29 |          9           |          1           |          16         |          4           |          2           |          3           |          3           |          5           |          8           |          2           |          1           |          10         |          0           |          0           |          20         |          13         |          1           |          3           |        analyst        |
02/20/21 06:02:45 |          4           |          1           |          17         |          1           |          1           |          5           |          12         |          3           |          6           |          2           |          5           |          24         |          0           |          1           |          20         |          22         |          5           |          5           |       developer       |
02/21/21 06:00:01 |          3           |          1           |          3           |          1           |          0           |          0           |          0           |          1           |          1           |          1           |          1           |          1           |          0           |          0           |          2           |          2           |          0           |          1           |       technician      |
02/21/21 06:00:15 |          3           |          1           |          12         |          6           |          0           |          3           |          4           |          2           |          6           |          3           |          0           |          25         |          0           |          4           |          26         |          17         |          0           |          2           |       specialist      |
02/21/21 06:00:29 |          6           |          2           |          15         |          7           |          1           |          6           |          6           |          1           |          2           |          2           |          0           |          11         |          0           |          5           |          26         |          24         |          0           |          2           |        analyst        |
02/21/21 06:00:43 |          4           |          0           |          13         |          1           |          1           |          9           |          9           |          3           |          4           |          0           |          7           |          21         |          0           |          0           |          40         |          32         |          7           |          8           |       developer       |
02/22/21 06:00:01 |          1           |          0           |          7           |          2           |          1           |          1           |          6           |          4           |          6           |          2           |          0           |          17         |          0           |          0           |          10         |          5           |          0           |          0           |       technician      |
02/22/21 06:00:14 |          2           |          2           |          8           |          6           |          0           |          3           |          7           |          2           |          7           |          5           |          1           |          19         |          0           |          4           |          21         |          14         |          1           |          1           |       specialist      |
02/22/21 06:00:29 |          9           |          0           |          18         |          3           |          2           |          3           |          3           |          5           |          7           |          1           |          1           |          10         |          0           |          0           |          22         |          14         |          1           |          2           |        analyst        |
02/22/21 06:00:45 |          8           |          0           |          13         |          1           |          1           |          6           |          11         |          0           |          1           |          1           |          4           |          20         |          0           |          0           |          23         |          26         |          5           |          7           |       developer       |
02/23/21 06:00:01 |          3           |          1           |          4           |          1           |          0           |          0           |          1           |          1           |          2           |          1           |          1           |          1           |          0           |          0           |          2           |          3           |          0           |          0           |       technician      |
02/23/21 06:00:16 |          3           |          1           |          12         |          6           |          0           |          3           |          4           |          2           |          7           |          3           |          0           |          26         |          0           |          4           |          26         |          17         |          0           |          2           |       specialist      |
02/23/21 06:00:29 |          8           |          2           |          9           |          1           |          1           |          3           |          4           |          6           |          5           |          0           |          0           |          13         |          0           |          1           |          14         |          10         |          0           |          2           |        analyst        |
02/23/21 06:00:43 |          7           |          0           |          13         |          1           |          1           |          5           |          14         |          0           |          2           |          0           |          6           |          20         |          0           |          0           |          16         |          22         |          8           |          6           |       developer       |
02/24/21 06:00:01 |          4           |          2           |          5           |          1           |          0           |          0           |          1           |          1           |          1           |          1           |          1           |          1           |          0           |          0           |          2           |          2           |          0           |          0           |       technician      |
02/24/21 06:00:17 |          4           |          3           |          11         |          5           |          0           |          3           |          4           |          2           |          7           |          4           |          0           |          11         |          0           |          3           |          19         |          13         |          0           |          1           |       specialist      |
02/24/21 06:00:33 |          5           |          1           |          9           |          6           |          1           |          5           |          5           |          1           |          5           |          4           |          1           |          8           |          0           |          3           |          16         |          16         |          0           |          1           |        analyst        |
02/24/21 06:00:49 |          5           |          1           |          14         |          1           |          1           |          4           |          8           |          0           |          4           |          3           |          5           |          16         |          0           |          0           |          18         |          17         |          3           |          3           |       developer       |
02/25/21 06:00:01 |          3           |          7           |          3           |          1           |          0           |          0           |          5           |          1           |          1           |          1           |          1           |          5           |          0           |          0           |          6           |          3           |          0           |          0           |       technician      |
02/25/21 06:00:15 |          3           |          8           |          9           |          5           |          0           |          3           |          9           |          2           |          6           |          4           |          0           |          13         |          0           |          3           |          22         |          14         |          0           |          1           |       specialist      |
02/25/21 06:00:29 |          8           |          1           |          8           |          1           |          1           |          3           |          5           |          0           |          3           |          4           |          1           |          7           |          0           |          0           |          13         |          13         |          0           |          2           |        analyst        |
02/25/21 06:00:42 |          3           |          2           |          11         |          0           |          0           |          3           |          16         |          6           |          13         |          5           |          5           |          37         |          0           |          0           |          21         |          26         |          9           |          15         |       developer       |
